Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
room,study,night,,,school,power,place,friend,world
child,,,paper,right,member,person,guy,problem,
,book,friend,law,life,,view,girl,field,moment
side,state,,,,,,program,fact,man
,room,,room,child,end,road,eye,,table
room,,power,,,product,day,country,,
level,level,,view,field,hand,child,time,office,love
minute,idea,eye,door,program,end,table,rate,law,group
power,product,program,,,member,research,member,friend,day
market,school,month,team,country,moment,man,child,student,girl
information,moment,question,number,reason,family,love,friend,line,
,family,group,end,love,family,,mother,life,friend
question,paper,level,book,face,data,,,car,
information,night,view,room,home,issue,result,hour,,family
product,,,work,room,state,,class,health,hour
city,end,law,year,law,power,teacher,hand,group,room
,service,person,minute,kind,,market,hand,,kind
question,,product,game,end,school,,fact,month,moment
,job,country,word,life,number,child,side,form,work
issue,office,school,eye,mother,side,day,water,year,road
part,,program,health,woman,team,month,room,,data
,right,area,research,person,end,study,food,point,face
view,field,view,book,reason,research,,music,,case
book,hand,,program,water,road,product,paper,,
business,moment,air,,form,,,data,,hand
,air,,family,student,,rate,program,night,time
teacher,,table,house,level,,end,world,view,issue
road,team,product,night,love,community,student,money,,
government,work,man,word,family,minute,room,side,life,event
event,guy,house,hand,reason,world,head,state,road,year
power,point,power,result,night,,,time,point,year
,time,air,room,time,hand,month,right,face,table
power,door,game,book,health,,time,health,,love
week,,problem,team,face,program,form,,time,program
product,product,part,teacher,level,month,money,month,story,fact
hour,,story,,event,question,,event,,girl
market,,line,end,woman,night,company,year,guy,woman
hand,side,water,system,way,,program,law,music,thing
case,man,game,view,health,,idea,night,,idea
,world,car,book,,,table,water,,hand
side,car,time,information,state,,part,music,door,
mother,right,market,minute,eye,book,person,,money,part
service,school,,country,result,game,,country,,part
life,woman,point,,hand,person,room,idea,man,health
program,issue,week,area,girl,table,day,,,love
company,,room,end,minute,road,group,question,,water
friend,life,,job,eye,,,eye,week,door
way,time,class,side,friend,,problem,,question,world
research,product,,money,hour,water,day,level,service,product
night,,road,name,time,level,,market,,view
,money,fact,,,rate,,system,,student
home,study,,teacher,water,market,food,system,road,number
service,number,team,rate,word,month,,life,data,side
love,teacher,power,car,month,line,,girl,city,friend
idea,,water,line,minute,,time,,level,face
food,friend,guy,power,year,minute,love,friend,,power
child,teacher,number,road,company,,idea,story,,business
service,study,state,face,,field,job,kind,,
side,,water,teacher,room,law,night,air,number,food
water,study,reason,end,,,,area,guy,
book,thing,service,,game,line,story,business,question,level
month,head,month,road,,program,life,community,air,night
mother,,fact,guy,view,idea,field,friend,music,research
minute,family,food,week,world,water,system,,head,
,,,system,view,world,,school,life,table
night,problem,,game,minute,,hand,reason,eye,country
hand,head,love,problem,view,program,book,moment,,group
paper,business,table,moment,water,reason,city,food,job,
food,information,class,,,,school,reason,information,
name,,class,book,family,story,country,company,day,month
company,head,food,view,thing,woman,team,study,area,water
team,way,company,service,result,problem,,car,rate,field
government,road,power,,world,time,road,,,
information,hand,area,car,,system,way,woman,mother,team
face,way,month,man,number,teacher,number,,event,minute
data,,,,data,research,,government,city,
job,power,end,business,,paper,company,person,state,guy
,job,table,case,idea,idea,,level,,week
rate,,student,,night,eye,month,student,case,
form,company,hand,event,system,eye,night,question,water,
rate,work,music,service,paper,work,class,state,door,way
teacher,power,case,room,power,,,air,school,
,,power,data,fact,,,company,data,month
research,water,word,issue,program,class,,view,day,level
,teacher,program,,member,problem,teacher,form,,
line,system,mother,area,,,house,student,power,view
area,form,family,thing,,member,level,book,teacher,house
form,problem,product,,event,hand,place,,study,air
eye,home,number,moment,money,water,name,thing,area,work
fact,moment,guy,head,fact,information,love,,,reason
thing,information,,night,head,food,level,research,case,government
,food,study,city,government,idea,,air,idea,market
,girl,result,country,question,minute,girl,,government,community
,,mother,,home,line,word,face,house,name
form,fact,family,kind,,story,place,child,group,power
team,,company,word,paper,friend,,teacher,head,table
teacher,level,,life,data,day,hand,,,love
family,word,event,group,community,face,love,paper,room,family
country,rate,,paper,air,result,friend,month,level,product
school,idea,story,story,,room,minute,money,place,
community,program,hand,business,child,data,,city,story,
,company,area,part,,rate,,line,car,year
market,house,day,teacher,head,family,data,mother,,state
view,,,group,research,face,family,face,thing,woman
area,book,,name,hand,food,moment,state,hand,power
head,event,family,field,road,,community,book,,
,,water,,food,time,question,door,government,head
student,,system,air,way,reason,water,city,business,game
face,team,,,team,,car,,story,view
name,government,moment,research,idea,program,world,side,market,door
mother,line,home,system,,member,woman,part,program,head
moment,end,room,information,health,music,fact,area,door,paper
eye,,door,power,,,,paper,idea,story
,product,,hour,health,market,right,research,room,government
issue,man,service,money,,man,person,school,end,government
state,month,door,business,word,water,eye,company,,fact
year,research,girl,level,view,member,market,community,hour,issue
kind,week,problem,man,community,research,day,,friend,love
,,life,result,road,rate,market,man,head,face
state,,,minute,idea,power,paper,money,program,line
law,thing,,kind,service,class,country,idea,home,moment
life,teacher,case,thing,place,kind,water,end,,girl
company,business,child,,music,idea,year,case,right,family
company,man,business,,paper,life,government,state,,way
,class,water,minute,air,way,teacher,,,family
room,week,research,data,service,part,,,water,year
field,minute,woman,man,team,study,work,place,city,
fact,life,,health,book,paper,country,time,result,minute
program,night,paper,market,child,team,system,issue,case,issue
state,class,law,hand,moment,,kind,book,business,thing
team,,part,problem,table,paper,food,,house,end
home,week,place,work,member,,line,event,problem,point
view,man,day,research,hand,study,,class,moment,week
level,class,event,air,guy,road,music,system,school,hand
rate,result,law,,word,road,group,fact,,month
head,life,world,field,,number,system,,power,rate
man,girl,air,view,hand,area,form,government,research,power
part,school,money,car,system,hand,form,man,hour,
program,person,reason,group,,,house,,point,data
issue,water,moment,car,government,food,system,fact,health,right
view,issue,face,paper,car,point,information,woman,case,power
person,,,idea,event,market,hand,teacher,,money
girl,,place,,city,,,member,night,car
family,rate,class,right,view,door,year,home,,
place,guy,road,school,number,,night,,love,
child,hour,service,head,love,job,way,thing,student,child
rate,life,,number,,health,time,,,week
team,state,,moment,service,water,,city,place,
love,,man,service,family,,home,,place,
,road,business,right,person,road,problem,area,fact,love
level,world,,area,kind,information,hand,program,place,face
,,house,car,reason,air,,area,,point
way,face,,question,,,system,water,case,event
friend,person,fact,level,company,idea,school,money,government,fact
month,group,power,office,job,,person,data,man,head
,paper,paper,room,job,year,minute,mother,,issue
country,room,level,moment,food,team,,number,market,night
,,law,week,case,month,woman,,,moment
part,family,,level,,,end,work,member,family
,end,book,state,side,government,,life,rate,air
case,time,room,man,life,car,,reason,,
law,right,,head,question,,school,idea,way,water
health,end,power,city,friend,,money,life,road,
problem,health,love,,life,family,door,member,home,time
door,part,home,reason,,house,view,,,girl
country,state,teacher,month,month,day,,,water,idea
,,road,hand,side,,government,,system,eye
friend,information,water,research,,state,community,,,team
minute,study,,,,,head,community,thing,car
system,,word,table,,,,story,,room
,head,guy,health,moment,name,form,game,,friend
car,hand,government,level,,government,head,book,service,group
state,teacher,question,country,house,,area,name,paper,guy
level,,game,house,student,system,issue,country,community,eye
group,right,issue,law,girl,work,minute,face,,teacher
data,point,level,law,issue,,hour,food,community,girl
game,right,,job,business,hand,,water,,car
,thing,night,story,product,reason,teacher,,hand,part
water,student,guy,event,reason,word,money,word,market,room
state,city,part,market,state,,word,,level,day
student,thing,reason,end,family,month,end,hand,line,problem
book,book,water,name,,,,class,office,business
office,,student,program,question,,air,paper,family,love
reason,story,kind,issue,power,problem,woman,group,idea,name
water,person,,team,woman,,,service,reason,country
product,head,day,life,government,area,company,book,government,family
study,student,student,time,week,business,room,reason,hand,event
mother,year,,problem,event,service,information,,life,
way,water,hand,,word,,,,,class
man,result,kind,door,head,side,,class,,
person,product,time,month,minute,,music,,air,fact
work,man,mother,reason,side,side,,community,member,
music,part,,thing,school,life,country,year,market,end
city,woman,number,,group,water,,week,health,group
health,moment,idea,point,,service,world,office,minute,book
reason,program,part,business,word,story,,,room,
,woman,head,,office,student,school,power,friend,state
music,state,paper,table,community,result,word,,woman,
city,form,love,school,job,place,,law,,product
minute,,service,family,moment,government,face,right,door,game
,school,car,level,government,story,school,point,mother,business
week,kind,,work,,,paper,view,information,school
,,night,question,community,music,game,number,case,student
health,man,issue,kind,girl,law,member,girl,week,data
product,field,,problem,idea,,government,kind,reason,government
data,food,,case,system,,,room,mother,
game,moment,state,mother,business,,week,field,minute,country
group,place,car,,information,mother,number,minute,face,level
,school,study,,rate,government,music,problem,,right
person,,group,air,country,,state,service,end,company
,hand,,face,book,fact,result,case,idea,place
,question,line,information,,office,program,week,class,
air,,question,,rate,number,road,,community,road
book,home,food,study,system,work,hand,,information,head
paper,school,,game,team,name,money,paper,,city
paper,city,time,business,,market,water,right,month,result
city,person,state,child,area,work,way,research,hand,girl
government,business,paper,moment,state,health,work,food,story,
member,market,room,,state,,way,game,water,money
car,result,,,life,week,,child,eye,
member,name,,school,case,house,world,event,case,moment
,,system,teacher,research,air,student,member,room,
work,state,story,idea,night,part,state,child,group,door
office,issue,place,woman,student,room,health,team,year,teacher
love,moment,city,face,music,,hand,house,water,idea
,service,week,guy,,,head,,class,group
thing,moment,,guy,member,room,,month,end,family
result,kind,case,place,,place,reason,case,fact,class
,business,number,,service,right,law,mother,question,
service,name,problem,,child,game,number,moment,,family
,money,minute,group,line,name,research,service,air,result
reason,,group,reason,room,money,question,game,hand,hour
hour,car,company,minute,state,woman,product,,face,way
office,problem,family,story,right,product,fact,area,event,job
car,,,health,research,,road,game,music,problem
company,area,school,hand,point,,woman,event,,result
home,form,face,,car,week,,health,woman,city
field,view,issue,week,face,hand,information,food,rate,view
job,point,fact,paper,game,,eye,thing,child,hand
,,music,world,man,,guy,result,,
service,air,country,reason,company,area,,research,world,door
class,,,fact,product,program,market,market,hand,law
company,table,,,,right,table,,air,month
study,market,guy,,face,office,group,part,world,
air,night,state,,,,book,home,team,side
hand,,line,,,law,room,line,number,law
system,,case,door,office,,student,love,rate,hand
field,end,minute,man,day,idea,form,paper,year,product
,teacher,class,service,week,service,power,,name,eye
community,kind,information,book,place,number,product,,hand,
game,rate,,student,job,way,end,,,point
country,team,work,hand,guy,door,system,,,water
minute,class,data,health,area,moment,health,,,study
night,member,,community,room,,result,money,form,system
system,health,room,hand,student,system,area,,job,game
week,,result,study,woman,,area,group,hand,
country,information,person,,place,thing,child,work,,issue
office,part,result,part,team,government,,information,place,
product,,office,,view,,month,man,,job
program,,teacher,moment,woman,food,study,issue,,community
music,job,question,family,,name,minute,government,food,moment
health,world,information,,issue,friend,face,,,mother
book,,fact,water,point,company,,,,market
community,result,service,night,person,mother,company,government,week,government
group,,word,data,table,fact,problem,,research,number
,car,state,group,,hour,friend,hour,door,office
friend,,,,table,girl,hand,fact,month,night
,,car,minute,fact,home,home,information,issue,product
girl,company,month,country,,group,data,school,,service
way,result,side,student,face,question,hour,thing,girl,woman
music,air,world,state,,story,service,,name,field
guy,water,word,room,word,health,fact,,program,way
reason,company,,room,idea,,face,person,event,government
kind,moment,service,,,part,government,girl,home,game
,way,door,end,team,rate,market,power,case,hand
,place,,office,view,community,book,,,
girl,mother,market,world,mother,,office,hand,book,
year,city,girl,,data,car,house,water,,mother
face,moment,teacher,health,rate,system,market,month,,power
power,community,research,,,,office,eye,,moment
year,family,,power,water,power,,,time,man
time,student,,,fact,story,school,point,thing,girl
room,law,law,question,,face,issue,company,point,research
game,minute,law,love,mother,year,,home,friend,point
week,,class,work,,water,result,study,level,day
school,thing,water,study,power,place,time,man,service,place
problem,game,car,state,field,case,thing,side,data,kind
office,study,number,office,table,community,class,team,world,book
,name,team,field,case,face,child,money,,end
minute,kind,field,study,study,,,place,,issue
door,field,market,,company,game,field,water,book,problem
car,food,study,,law,game,event,power,government,area
issue,state,,moment,,,number,food,result,health
door,office,area,state,,issue,line,,student,
week,moment,data,health,book,information,,question,home,number
,part,service,,game,information,guy,idea,love,
,work,air,power,,water,result,,part,country
table,side,family,eye,view,hand,research,level,part,house
hand,year,team,student,moment,,,girl,year,
air,area,rate,community,view,program,money,paper,product,form
job,,month,program,water,student,,issue,,world
world,,fact,question,night,paper,area,team,home,
issue,world,mother,view,office,,house,child,week,way
office,work,,research,moment,number,,service,form,place
,guy,government,level,business,level,,team,,area
,government,child,study,,,work,child,area,
government,minute,room,country,,moment,home,air,woman,health
game,mother,person,area,field,point,,end,,
house,market,school,government,hour,point,,child,hand,result
minute,community,paper,,school,hand,field,kind,business,world
field,data,minute,,,product,,market,money,
woman,car,way,thing,student,office,hand,case,,woman
information,,state,,view,field,result,law,kind,name
office,country,,,data,product,place,office,system,job
kind,mother,water,money,,issue,time,,month,work
,product,room,member,,student,result,program,member,right
place,hour,,business,member,,face,case,product,information
number,service,teacher,line,,community,team,case,reason,road
idea,,guy,company,issue,hand,,health,head,view
,food,moment,power,guy,water,person,result,,
business,power,state,moment,way,hand,minute,side,,class
research,data,hand,place,,,guy,form,way,
food,table,child,school,law,service,mother,car,game,kind
health,study,fact,hour,law,way,point,woman,name,student
girl,level,fact,problem,car,,work,company,member,
,road,office,hour,car,world,,right,job,research
level,work,family,study,school,member,room,room,community,music
minute,,person,hand,time,minute,,mother,question,family
book,result,road,house,class,view,,day,,community
,event,power,,power,door,reason,music,problem,group
,job,power,place,home,,car,business,home,data
,money,,level,home,team,,world,,name
head,car,guy,paper,country,name,family,,power,study
,friend,mother,,water,home,,information,case,right
hand,,road,,market,program,system,,,road
problem,,idea,information,government,,life,study,hand,place
number,place,field,community,music,,book,house,case,
water,data,,office,hand,job,office,love,place,
problem,,,idea,minute,class,,group,level,girl
food,air,child,end,money,man,kind,game,word,state
paper,work,hand,,eye,thing,product,school,country,
,night,,business,,air,number,time,head,data
kind,,,,way,,door,face,room,
service,level,job,,product,month,air,year,room,law
,idea,eye,kind,service,class,car,idea,,end
idea,case,point,health,hand,guy,person,woman,part,book
,community,fact,class,side,water,family,,,head
,service,family,moment,,school,,name,team,hand
,right,book,company,hand,woman,product,kind,form,
area,person,family,road,community,member,field,,place,fact
room,head,idea,year,home,moment,,,family,door
,community,,way,room,reason,,teacher,month,family
,music,paper,health,girl,,,love,,kind
table,,water,,time,,country,road,woman,community
,study,right,,moment,,team,girl,girl,service
result,table,community,air,information,place,door,business,view,
result,,book,right,government,,time,table,,team
year,hour,result,face,level,table,government,community,head,group
room,problem,paper,law,market,member,music,,thing,man
point,class,member,road,program,house,week,family,person,issue
game,company,,service,field,book,friend,,issue,kind
love,head,right,year,world,right,group,time,money,state
family,time,side,reason,end,month,company,business,money,
,water,child,team,law,night,word,family,,
side,,country,question,side,money,right,paper,,way
,state,,end,health,,idea,city,kind,week
,,event,,country,,school,month,house,class
year,woman,girl,man,head,study,,part,,day
question,product,team,,,idea,health,community,night,home
end,,room,face,reason,data,question,point,information,event
information,time,,car,side,city,day,man,,table
night,time,month,system,,right,woman,,car,
,group,love,level,,study,health,water,government,minute
number,,,end,state,class,service,thing,,hour
system,music,,face,head,,study,guy,question,
group,country,,thing,part,night,money,hour,government,line
question,,house,hour,kind,car,group,,,
,house,teacher,student,view,health,,eye,market,child
,,time,hour,car,research,girl,service,student,member
city,night,side,woman,friend,country,fact,right,,program
side,head,question,product,,car,way,form,company,part
team,guy,right,time,power,health,,end,power,teacher
,name,form,service,night,member,place,system,health,state
,room,thing,name,,country,year,book,work,teacher
result,way,class,eye,year,,head,,,book
,number,moment,power,face,hand,person,student,,home
week,number,,place,,data,week,,water,head
job,,view,work,hand,question,,view,system,case
hand,group,,,product,system,view,water,moment,world
team,area,day,work,office,,data,girl,book,guy
power,office,,,car,area,number,business,information,fact
service,issue,event,hand,result,member,line,problem,country,
government,reason,reason,moment,member,community,field,right,market,moment
office,road,thing,,home,line,woman,,,
hand,fact,reason,friend,,,,field,market,hour
,health,life,time,,student,data,business,place,food
line,community,head,year,hand,child,music,life,,
line,rate,,home,health,world,year,,data,hour
state,,day,,room,school,end,,week,
girl,line,story,book,system,,,story,work,student
,name,,business,reason,place,country,,game,
,life,office,,child,end,night,,health,number
day,story,hour,,room,,world,team,table,rate
month,day,health,health,,data,market,program,night,eye
group,place,road,child,table,water,problem,food,event,word
story,,week,woman,form,,end,,kind,month
team,woman,,group,story,city,,part,place,money
girl,reason,part,health,moment,part,side,,food,month
number,class,country,food,road,child,,power,form,right
road,,office,food,,,month,name,way,event
girl,part,,month,,house,data,team,guy,level
number,paper,,fact,reason,service,,music,office,night
idea,law,year,day,name,world,friend,work,team,
month,music,road,,week,case,,mother,world,state
month,head,,student,view,day,food,paper,,car
,week,food,mother,world,hand,result,program,state,name
time,view,company,,service,,government,,person,
month,question,,end,paper,problem,,event,field,
result,,fact,moment,guy,,road,,end,fact
,service,table,business,community,,,student,side,
case,paper,time,end,world,city,,day,,road
room,idea,house,life,law,law,business,,company,word
year,word,view,week,time,,hand,line,food,friend
product,hand,case,moment,program,product,moment,,time,end
world,level,day,hand,home,number,,member,place,school
government,,state,way,work,minute,,man,student,
,member,woman,research,day,work,,end,hand,money
number,car,,information,money,level,car,number,end,music
house,child,,eye,,,day,,data,thing
city,health,kind,student,day,life,water,market,issue,
name,result,class,love,program,product,part,water,team,field
service,guy,food,,moment,week,,class,market,issue
,month,group,right,number,kind,part,air,eye,hour
,money,question,job,teacher,day,thing,form,hour,music
road,,company,case,,person,,,hand,house
system,time,rate,event,school,week,door,,,air
line,guy,law,,night,head,family,,school,member
,idea,paper,time,result,love,service,guy,way,result
teacher,,minute,love,face,game,music,student,,week
,product,food,program,way,family,,power,week,case
place,,business,,,moment,law,home,research,air
point,rate,air,,table,right,head,number,name,part
life,work,research,water,table,way,,family,road,road
health,problem,data,,,music,air,moment,door,question
head,member,teacher,music,event,level,face,state,group,game
game,hand,child,part,point,,issue,,,thing
side,child,house,study,hand,event,problem,team,friend,power
,,,book,area,teacher,game,man,air,music
,point,idea,friend,game,home,day,member,,question
event,company,water,water,,thing,,air,girl,car
room,game,,woman,woman,case,,,door,country
table,case,woman,,moment,city,question,child,name,room
minute,door,reason,,rate,country,year,service,company,music
woman,hand,problem,girl,form,level,number,year,case,hand
air,study,person,guy,,guy,way,work,state,book
line,story,problem,business,number,minute,,person,year,man
number,,child,house,level,side,health,question,story,
issue,family,part,,health,study,child,music,field,
paper,friend,fact,thing,end,rate,moment,law,name,field
,,question,name,money,research,,office,person,
reason,fact,student,,fact,word,hand,mother,,
field,company,market,school,country,,community,paper,name,book
,road,,house,life,part,room,room,word,problem
music,rate,law,,product,end,way,fact,friend,day
question,market,child,money,day,right,side,,reason,year
service,country,,mother,business,month,fact,fact,face,car
reason,fact,water,,,issue,school,paper,business,friend
hand,guy,country,view,head,state,head,problem,,word
,student,level,work,state,company,man,teacher,room,book
study,point,part,school,name,life,,love,place,
water,,,community,word,friend,side,service,health,market
road,water,country,service,mother,name,field,issue,field,
team,,part,game,company,water,table,result,point,group
country,paper,side,teacher,,area,fact,reason,kind,level
field,world,table,friend,office,state,fact,government,country,air
minute,,guy,information,month,car,right,mother,head,
moment,state,man,field,place,life,,car,,
car,rate,,child,,hand,,system,face,girl
form,,face,power,form,product,system,,man,night
table,year,class,air,home,office,,area,area,
research,problem,,field,,government,issue,time,reason,face
,,paper,school,student,thing,house,,group,
way,music,power,government,kind,paper,day,issue,,side
,story,game,teacher,reason,love,woman,case,,
number,class,group,food,reason,name,,paper,member,
air,law,rate,week,,word,idea,eye,work,year
fact,government,area,company,eye,road,,door,job,view
love,table,case,office,job,water,,,,house
,money,,story,,air,business,,number,line
problem,house,head,,child,result,state,rate,,
water,eye,part,water,house,data,power,place,food,job
side,rate,,head,,rate,,system,,idea
home,field,case,idea,word,moment,market,hand,,world
member,door,kind,water,story,side,data,idea,country,person
person,part,right,event,field,,life,water,community,law
way,week,door,,music,,,product,kind,head
information,,head,house,car,hand,man,point,air,
moment,city,friend,water,job,government,home,form,,world
woman,job,business,reason,city,eye,minute,reason,part,product
girl,job,,business,information,hour,market,point,face,team
city,family,month,class,home,country,field,number,,man
information,,head,,community,data,place,,,hour
market,,student,health,person,week,water,face,system,
,love,,,thing,night,woman,reason,government,place
child,night,guy,,love,door,child,information,word,
friend,,child,office,,book,city,,hand,government
view,idea,,word,law,kind,event,market,guy,head
system,year,story,business,door,business,family,car,book,story
,,day,word,year,name,,thing,night,name
word,name,result,city,government,home,story,company,issue,
group,data,class,world,side,head,,face,child,law
country,paper,month,thing,year,money,face,,head,word
area,data,study,law,kind,study,school,data,game,man
,information,question,minute,,line,right,,,power
,,,,family,,city,state,student,eye
hour,program,line,game,company,product,,group,research,result
hour,city,program,case,book,fact,money,face,number,name
car,week,,teacher,home,study,,moment,table,child
water,rate,information,road,level,end,team,hand,week,
word,friend,rate,office,,part,,,,end
,,area,,,minute,,issue,child,
hand,music,question,government,car,research,research,,idea,point
man,,water,country,community,member,group,system,door,fact
reason,student,family,water,,love,state,level,program,road
,side,case,research,money,,,country,member,table
side,,woman,water,guy,,idea,minute,girl,
research,place,side,family,office,fact,moment,city,side,
event,,company,,,friend,man,love,moment,table
face,,member,night,hand,event,man,day,,question
,state,road,side,research,book,money,,case,government
,result,point,class,hour,door,side,road,mother,year
story,week,year,service,game,hand,,table,,result
,world,hour,eye,home,member,moment,face,hand,
result,mother,,law,health,community,water,minute,face,
story,data,,guy,love,,room,part,world,office
life,,issue,thing,power,guy,product,,,night
thing,hand,company,,market,guy,service,moment,office,person
,month,,research,guy,,information,,year,
view,side,money,case,person,,,love,program,person
student,teacher,,result,day,girl,member,program,word,member
,,product,rate,business,car,,hand,,way
information,hour,result,week,door,world,form,research,friend,door
view,,,time,woman,power,book,friend,city,way
view,number,home,time,job,member,home,area,game,car
country,part,,money,word,eye,idea,child,,love
office,,problem,water,mother,door,child,week,family,door
water,issue,life,room,,,,part,game,system
water,information,health,line,member,night,number,case,door,rate
part,event,power,program,case,health,week,love,book,
word,state,event,,,,,,result,room
,,way,mother,,case,woman,mother,data,
,day,door,money,reason,company,member,market,,
thing,,form,food,community,group,result,country,view,music
,person,government,community,life,night,community,world,,
book,life,water,fact,kind,head,information,,form,office
house,information,room,,,question,,world,business,
law,rate,job,guy,head,,government,story,,
face,,,minute,city,car,way,market,,love
,,head,,program,,money,thing,way,life
line,service,day,member,study,,,time,data,system
right,member,hour,,mother,,month,,,word
love,health,night,result,form,money,air,paper,time,way
law,class,car,,,,right,law,area,study
data,level,guy,,area,home,game,music,,music
world,road,,number,place,,business,,information,game
study,woman,mother,country,,power,friend,,side,product
life,woman,team,end,,,head,rate,money,music
game,year,minute,,name,class,house,table,family,study
,,thing,problem,state,world,word,,work,
,,system,part,country,member,hour,point,,member
,study,point,water,moment,night,city,,home,moment
program,time,thing,hand,thing,paper,class,paper,table,
program,hour,world,information,study,,way,law,idea,story
side,mother,,question,table,hand,place,side,teacher,
room,problem,teacher,word,country,,money,,system,school
group,business,event,,place,,,air,case,
girl,,information,word,night,side,service,country,system,member
woman,,head,story,product,house,music,team,life,
,,law,man,face,,room,word,eye,group
company,guy,team,,health,system,study,office,love,teacher
,room,,,teacher,right,head,city,student,
eye,friend,case,problem,work,study,hand,business,love,government
home,car,month,problem,form,love,head,house,,love
face,community,,program,hour,thing,,family,girl,
end,team,,research,office,law,,event,,rate
game,program,hour,,line,,guy,home,,
government,thing,community,way,word,class,,hand,service,friend
,home,,minute,love,,thing,teacher,office,home
problem,,,hour,event,,business,job,line,problem
place,business,,book,country,government,law,hour,part,law
man,fact,point,information,house,,student,issue,time,right
government,issue,place,road,data,water,table,,group,government
minute,reason,,class,life,level,city,paper,,life
business,eye,group,,event,issue,hour,food,member,place
moment,level,member,end,office,field,idea,family,office,state
,day,information,part,event,,love,home,water,moment
,job,hour,teacher,child,table,love,,group,idea
book,,,point,minute,,,service,game,
result,,house,,city,work,,year,,thing
company,kind,moment,,food,road,road,,office,night
area,,week,table,,,paper,face,side,thing
head,food,week,kind,music,idea,market,,person,home
room,,company,music,,,business,product,door,state
,,,health,home,study,person,house,line,family
name,door,,reason,line,member,data,,kind,hand
,,idea,question,year,place,,law,end,hour
information,,form,minute,,hour,information,water,rate,system
,point,reason,woman,country,day,,name,time,result
number,student,month,friend,power,health,table,group,thing,number
week,event,end,place,book,research,girl,friend,question,water
girl,,house,teacher,room,information,week,eye,power,
,right,area,power,,member,man,right,school,business
guy,place,name,mother,house,thing,study,,day,business
night,,community,product,kind,,idea,teacher,food,
area,team,reason,house,word,moment,mother,,group,level
group,table,air,night,,day,case,market,view,view
girl,market,community,system,level,teacher,event,law,door,job
view,study,line,idea,work,guy,hand,eye,case,level
problem,level,life,table,word,paper,,food,program,week
life,class,company,health,area,table,rate,office,,group
,thing,school,result,time,end,,,office,research
head,,mother,rate,eye,life,issue,job,rate,teacher
issue,,time,water,water,month,life,information,,road
level,,face,teacher,,,community,,line,moment
name,research,family,week,event,hand,program,home,word,
study,result,information,right,,group,study,head,kind,information
fact,reason,,law,end,part,game,member,result,home
eye,moment,,person,hand,,woman,service,area,man
air,result,group,money,guy,,word,,school,school
side,,member,level,money,service,time,,hand,program
food,city,room,,moment,market,,,water,man
,problem,way,person,reason,air,water,,word,system
way,issue,law,night,line,man,air,day,door,night
,moment,issue,person,,question,,line,day,way
job,book,state,member,child,word,story,,mother,community
rate,money,product,student,right,minute,research,work,company,
city,,girl,market,area,,month,,community,student
market,,end,hand,week,,view,,,table
group,part,kind,man,,air,night,,,family
girl,person,car,government,,,water,view,,kind
minute,,line,year,,music,work,,teacher,level
line,group,service,head,water,,man,,issue,
money,time,work,,school,country,,,issue,thing
,,mother,part,level,office,hand,,home,name
city,word,hour,music,class,hour,,place,office,air
form,form,market,business,,kind,business,end,job,road
power,product,rate,,side,,friend,service,business,child
water,year,moment,water,road,health,head,,result,paper
,food,day,point,area,life,eye,,idea,study
,home,service,reason,line,,road,,,study
